키워드,언론사,기사명,날짜,URL
매일경제,"""세계경제 회복 더딘데…막상 긴축 시작되면 증시 충격 커질것""",A4면 TOP,http://news.mk.co.kr/newsRead.php?no=906930&year=2021,세계 경제
SBS Biz,"[이슈& 직설] 호주 석탄 금지 자충수, 최악의 전력난…정전 사태에 공장도 멈...",2021-09-30,https://biz.sbs.co.kr/article_hub/20000032464?division=NAVER,세계 경제
위키트리,이 중국기업 때문에 지금 전 세계 경제가 떨고 있습니다,2021-09-24,https://www.wikitree.co.kr/articles/691234,세계 경제
한국무역신문,중국 전력난 세계경제 위협… 공급망 혼란·물가상승 부추겨,2021-09-29,http://www.weeklytrade.co.kr/news/view.html?section=1&category=136&item=&no=75980,세계 경제
이코노텔링,"영화로 쓰는 세계경제 위기史(13) 마부제박사③한국, 돈을 계속 찍어도 괜찮나",2021-09-27,http://www.econotelling.com/news/articleView.html?idxno=5544,세계 경제
브레이크뉴스,[현지 보고]세계가 경제 공황이다!,2021-09-26,http://www.breaknews.com/835883,세계 경제
아시아경제,세계 경제 뒤흔드는 헝다 사태…중국 당국 개입할까,2021.09.21.,https://view.asiae.co.kr/article/2021092112295024933,세계 경제
매일경제,"""亞디지털경제가 내년 세계 성장 이끌것""",A3면 1단,http://news.mk.co.kr/newsRead.php?no=892720&year=2021,세계 경제
조선비즈,"기재부·KDI, 하버드대 교수 불러 세계 경제 논한다",2021.09.05.,https://biz.chosun.com/policy/policy_sub/2021/09/05/23FM4ZQ6UJH4JASXRQLILLDDVI/?utm_source=naver&utm_medium=original&utm_campaign=biz,세계 경제
파이낸셜뉴스,폴 크루그먼이 말하는 코로나 이후의 세계 경제는?,2021.09.11.,http://www.fnnews.com/news/202109101717195361,세계 경제
파이낸셜뉴스,글로벌 CEO 60% “세계 경제 코로나 이전 수준 회복할 것”,2021.09.01.,http://www.fnnews.com/news/202109011357072660,세계 경제
이데일리,"“플랫폼 기업, 전 세계 경제 주도”…무협, ‘최고경영자 조찬회’ 개최",2021.09.14.,http://www.edaily.co.kr/news/newspath.asp?newsid=02148406629180120,세계 경제
아시아타임즈,"[마켓Q] 김영익 ""헝다 아닌 전세계 부채 문제, 2023년까지 경제 침제될 것""",2021-09-24,https://www.asiatime.co.kr/article/20210923500192,세계 경제
조선비즈,"KPMG “글로벌 CEO 중 60%, 3년 간 세계 경제 전망 낙관”",2021.09.02.,https://biz.chosun.com/stock/stock_general/2021/09/02/KBZ3G3TEHRADNAQKEEULO4XC6E/?utm_source=naver&utm_medium=original&utm_campaign=biz,세계 경제
뉴시스,인사말하는 전광우 세계경제연구원 이사장,2021.09.02.,http://www.newsis.com/view/?id=NISI20210902_0017904188,세계 경제
매일경제,"세계최고 경제분석가들 ""내년 자산시장 급변 대비를""",A5면 1단,http://news.mk.co.kr/newsRead.php?no=883825&year=2021,세계 경제
전자신문,신한금융-세계경제연구원 'ESG-디지털 국제 콘퍼런스' 개최,2021.09.02.,http://www.etnews.com/20210902000136,세계 경제
뉴시스,"홍장표 ""선진국·신흥국 회복차, 세계 경제 성장 제약할 것""",2021.09.07.,http://www.newsis.com/view/?id=NISX20210907_0001574667&cID=10401&pID=10400,세계 경제
연합인포맥스,"CA ""세계 경제 성장 우려, 위험 심리에 부담""",2021.09.16.,http://news.einfomax.co.kr/news/articleView.html?idxno=4167852,세계 경제
뉴시스,"고승범 금융위원장, 세계경제연구원-신한금융그룹 국제컨퍼런스 기념촬영",2021.09.02.,http://www.newsis.com/view/?id=NISI20210902_0017904206,세계 경제
이코노텔링,영화로 쓰는 세계 경제위기사(13) 마부제박사➁현대화폐이론(MMT)의 '마법',2021.09.21.,http://www.econotelling.com/news/articleView.html?idxno=5542,세계 경제
글로벌이코노믹,중국 전력 위기 심화… 공급망 타격 전세계 경제 위협,2021-10-01,http://www.g-enews.com/ko-kr/news/article/news_all/2021100107241851196336258971_1/article.html,세계 경제
이코노텔링,◇영화로 쓰는 세계경제위기사(13) 마부제박사 ➀100년전 인플레 '망령',2021.09.19.,http://www.econotelling.com/news/articleView.html?idxno=5541,세계 경제
포춘코리아,우리나라 경제성장률 '세계평균'의 절반수준 전망,2021.09.09.,http://www.fortunekorea.co.kr/news/articleView.html?idxno=20297,세계 경제
이투데이,[전문] 이주열 한은 총재 세계경제연구원·신한금융 국제컨퍼런스 축사,2021.09.02.,https://www.etoday.co.kr/news/view/2058860,세계 경제
