키워드,언론사,기사명,날짜,URL
새전북신문,전북도 긴급재난지원금 사용기한 마감,2021-09-30,http://sjbnews.com/news/news.php?number=724498,재난 지원금
더팩트,천안 전 시민 재난지원금 지급에 외국인 포함 놓고 고심,2021-09-30,http://news.tf.co.kr/read/national/1890651.htm,재난 지원금
헤럴드경제,"[단독]경기도, 상반기 자체 재난지원금 1.4조…나머지 14개 시·도 합보다 많...",2021-09-30,http://news.heraldcorp.com/view.php?ud=20210929000350,재난 지원금
KBS,"경기도, ‘상위 12%’ 재난지원금 모레부터 온라인으로 접수",2021-09-30,https://news.kbs.co.kr/news/view.do?ncd=5289404&ref=A,재난 지원금
아주경제,"성남시, '대장동 개발이익금 시민 위한 재난지원금으로 사용'",2021-09-30,http://www.ajunews.com/view/20210930114536799,재난 지원금
한국경제TV,"""새마을금고 체크카드로 상생소비지원금 신청 가능""",2021-09-30,http://www.wowtv.co.kr/NewsCenter/News/Read?articleId=A202109290239&t=NN,재난 지원금
아시아경제,"""배민은 되고 쿠팡은 안 돼?""…상생소비지원금 기준 논란",17면 TOP,https://view.asiae.co.kr/article/2021092809140391537,재난 지원금
한국섬유신문,"5차 국민지원금, 소비진작 효과 10~20%에 그쳐",2021-10-01,http://www.ktnews.com/news/articleView.html?idxno=121065,재난 지원금
아주경제,국민지원금 24일간 4150만명 지급…이의신청 35만건 넘어,2021-09-30,http://www.ajunews.com/view/20210930104314743,재난 지원금
이뉴스투데이,영월 녹전3리 자체 재난지원금 지급 화제,2021-09-30,http://www.enewstoday.co.kr/news/articleView.html?idxno=1515498,재난 지원금
뉴스1,"""서울지하철 연말 모라토리엄 우려…특별재난지원금 지원해야""",2021-09-29,https://www.news1.kr/articles/?4445611,재난 지원금
IT동아,"5차 재난 지원금, 어디서 쓸 수 있을까?",2021-09-30,https://it.donga.com/32573/,재난 지원금
더팩트,전북도 긴급재난지원금 사용기한 '임박'…30일 종료,2021-09-29,http://news.tf.co.kr/read/national/1890240.htm,재난 지원금
경남일보,"창원지역 시민단체, 창원시 예산규모에 걸맞는 재난지원금 반영 촉구",2021-10-01,http://www.gnnews.co.kr/news/articleView.html?idxno=483824,재난 지원금
한국일보,"[단독] '재난지원금' '백신접종' 미끼… 스미싱 범죄, 코로나 업고 급증",10면 1단,https://hankookilbo.com/News/Read/A2021092810440002568?did=NA,재난 지원금
뉴시스,"천안시, 재난지원금 못받은 12만4000여명에 모두 지급키로",2021-09-28,http://www.newsis.com/view/?id=NISX20210927_0001594251&cID=10807&pID=10800,재난 지원금
경기도민일보,"'소상공인 희망회복자금'-'경기도 전도민 재난지원금' 신청방법은? 대상자, 지...",2021-09-30,http://www.kgdm.co.kr/news/articleView.html?idxno=789522,재난 지원금
제주교통복지신문,아산시 재난기본소득 지원금 신청하세요,57분 전,http://www.jejutwn.com/news/article.html?no=94689,재난 지원금
뉴스1,공주시의회 임시회 개회…재난지원금 지급 조례안 처리,2021-09-29,https://www.news1.kr/articles/?4445756,재난 지원금
뉴시스,"울산시, 비전속 체육강사에 재난지원금 50만원 지급",2021-09-24,http://www.newsis.com/view/?id=NISX20210923_0001591451&cID=10814&pID=10800,재난 지원금
