키워드,언론사,기사명,날짜,URL
중소기업뉴스,"KB금융, 트렌드 보고서 '소비자가 본 ESG와 친환경 소비 행동' 발간",2021.09.06.,http://www.kbiznews.co.kr/news/articleView.html?idxno=86186,소비트렌드 변화
국민일보,롯데마트 재도약 지렛대… 창고형 할인점 대폭 늘린다,19면 TOP,http://news.kmib.co.kr/article/view.asp?arcid=0924211333&code=11151400&cp=nv,소비트렌드 변화
비즈니스포스트,[Who Is ?] 황범석 롯데쇼핑 백화점사업부장,47분 전,https://www.businesspost.co.kr/BP?command=article_view&num=252547,소비트렌드 변화
국민일보,코스트코·트레이더스에 도전하는 롯데 ‘VIC마켓’…2023년 20개 이상 늘린다,2021-09-30,http://news.kmib.co.kr/article/view.asp?arcid=0016314754&code=61141111&cp=nv,소비트렌드 변화
이투데이,[창간기획] '위드 코로나' 다시 일상행복 꿈꾼다,2021-10-01,https://www.etoday.co.kr/news/view/2065893,소비트렌드 변화
새전북신문,"K-FOOD, 신북방 거점 中 동북시장 공략",2021-09-30,http://sjbnews.com/news/news.php?number=724536,소비트렌드 변화
머니투데이,"TS트릴리온, TS샴푸 쿠팡 판매 상위권 진입",2021-09-30,http://news.mt.co.kr/mtview.php?no=2021093013273787133,소비트렌드 변화
더팩트,"K-FOOD, ‘中동북시장’ 노린다",2021-09-30,http://news.tf.co.kr/read/national/1890675.htm,소비트렌드 변화
KOTRA해외시장뉴스,징동다오쟈로 보는 중국 레저식품 소비 트렌드,2021.09.10.,http://news.kotra.or.kr/user/extra/kotranews/bbs/linkView/jsp/Page.do?dataIdx=190446,소비트렌드 변화
EBN,식약처 '식품위생법 시행규칙' 일부개정령 입법예고,2021-09-30,https://www.ebn.co.kr/news/view/1502418/?sc=Naver,소비트렌드 변화
ZDNet Korea,"MZ세대가 숏폼 원하는 이유...""재밌으니까""",2021-09-30,https://zdnet.co.kr/view/?no=20210929152328,소비트렌드 변화
CEO스코어데일리,[제5회 금융포럼] 양정우 하나금융경영연구소 수석연구원 “세대별 소비 행태...,2021.09.08.,https://www.ceoscoredaily.com/page/view/2021090817201088656,소비트렌드 변화
